Date,Open,High,Low,Close,Adj Close,Volume
2002-12-01,14.620000,14.620000,13.490000,13.560000,8.887278,0
2003-01-01,14.010000,14.370000,13.030000,13.200000,8.792791,0
2003-02-01,13.270000,13.270000,12.630000,13.000000,8.659565,0
2003-03-01,12.910000,13.860000,12.390000,13.130000,8.746161,0
2003-04-01,13.290000,14.240000,13.290000,14.210000,9.465569,0
2003-05-01,14.200000,14.960000,14.200000,14.960000,9.965159,0
2003-06-01,15.010000,15.710000,15.010000,15.140000,10.085063,0
2003-07-01,15.270000,15.670000,15.220000,15.410000,10.264915,0
2003-08-01,15.250000,15.710000,15.020000,15.710000,10.464753,0
2003-09-01,15.920000,16.209999,15.540000,15.540000,10.351510,0
2003-10-01,15.880000,16.410000,15.880000,16.410000,10.931034,0
2003-11-01,16.540001,16.559999,16.160000,16.549999,11.024293,0
2003-12-01,16.740000,17.180000,16.490000,17.180000,11.443949,0
2004-01-01,17.120001,17.860001,17.120001,17.490000,11.813882,0
2004-02-01,17.549999,17.910000,17.420000,17.730000,11.975992,0
2004-03-01,17.900000,17.920000,16.920000,17.459999,11.793617,0
2004-04-01,17.549999,17.840000,17.180000,17.180000,11.604487,0
2004-05-01,17.340000,17.430000,16.840000,17.420000,11.766598,0
2004-06-01,17.430000,17.790001,17.360001,17.750000,11.989503,0
2004-07-01,17.570000,17.570000,16.879999,17.160000,11.590977,0
2004-08-01,17.240000,17.290001,16.580000,17.230000,11.638262,0
2004-09-01,17.260000,17.639999,17.240000,17.420000,11.766598,0
2004-10-01,17.680000,17.850000,17.120001,17.680000,11.942218,0
2004-11-01,17.680000,18.540001,17.680000,18.389999,12.421800,0
2004-12-01,18.670000,18.709999,18.299999,18.690001,12.624440,0
2005-01-01,18.540001,18.540001,17.959999,18.230000,12.529496,0
2005-02-01,18.360001,18.730000,18.299999,18.610001,12.790669,0
2005-03-01,18.719999,18.950001,18.049999,18.290001,12.570735,0
2005-04-01,18.170000,18.459999,17.629999,17.940001,12.330176,0
2005-05-01,18.020000,18.620001,17.910000,18.510000,12.721942,0
2005-06-01,18.680000,18.920000,18.510000,18.530001,12.735688,0
2005-07-01,18.580000,19.360001,18.580000,19.219999,13.209924,0
2005-08-01,19.230000,19.389999,18.790001,19.040001,13.086210,0
2005-09-01,19.059999,19.370001,18.889999,19.190001,13.189304,0
2005-10-01,19.160000,19.160000,18.400000,18.879999,12.976240,0
2005-11-01,18.809999,19.870001,18.809999,19.590000,13.464225,0
2005-12-01,19.820000,19.959999,19.250000,19.250000,13.230545,0
2006-01-01,19.570000,19.969999,19.469999,19.760000,13.816780,0
2006-02-01,19.799999,20.030001,19.379999,19.820000,13.858730,0
2006-03-01,19.990000,20.250000,19.700001,20.059999,14.026546,0
2006-04-01,20.110001,20.340000,19.930000,20.330000,14.215334,0
2006-05-01,20.250000,20.570000,19.520000,19.740000,13.802793,0
2006-06-01,19.980000,20.020000,19.030001,19.770000,13.823768,0
2006-07-01,19.930000,19.930000,19.230000,19.900000,13.914666,0
2006-08-01,19.809999,20.370001,19.750000,20.370001,14.243306,0
2006-09-01,20.480000,20.940001,20.219999,20.889999,14.606905,0
2006-10-01,20.820000,21.730000,20.820000,21.559999,15.075389,0
2006-11-01,21.410000,22.030001,21.360001,21.959999,15.355082,0
2006-12-01,21.900000,22.360001,21.780001,21.900000,15.313128,0
2007-01-01,21.889999,22.260000,21.780001,22.230000,15.804695,0
2007-02-01,22.360001,22.600000,21.680000,21.799999,15.498982,0
2007-03-01,21.750000,22.290001,21.299999,22.040001,15.669612,0
2007-04-01,22.100000,23.209999,22.100000,23.020000,16.366354,0
2007-05-01,23.080000,23.820000,23.080000,23.820000,16.935127,0
2007-06-01,23.910000,23.950001,23.209999,23.420000,16.650740,0
2007-07-01,23.670000,24.219999,22.709999,22.709999,16.145956,0
2007-08-01,22.879999,23.389999,22.000000,23.059999,16.394789,0
2007-09-01,23.299999,23.980000,22.730000,23.910000,16.999113,0
2007-10-01,24.219999,24.520000,23.520000,24.280001,17.262169,0
2007-11-01,23.639999,23.830000,22.110001,23.270000,16.544098,0
2007-12-01,23.139999,23.830000,22.340000,22.690001,16.131739,0
2008-01-01,22.370001,22.370001,20.290001,21.340000,15.442159,0
2008-02-01,21.590000,21.590000,20.540001,20.629999,14.928384,0
2008-03-01,20.639999,21.000000,19.770000,20.540001,14.863257,0
2008-04-01,21.270000,21.709999,20.629999,21.520000,15.572410,0
2008-05-01,21.900000,22.190001,21.410000,21.799999,15.775025,0
2008-06-01,21.570000,21.870001,19.940001,19.969999,14.450792,0
2008-07-01,20.049999,20.080000,19.000000,19.830000,14.349485,0
2008-08-01,19.719999,20.450001,19.549999,20.120001,14.559337,0
2008-09-01,20.040001,20.040001,17.430000,18.360001,13.285759,0
2008-10-01,18.280001,18.280001,13.410000,15.280000,11.056989,0
2008-11-01,15.240000,15.860000,11.930000,14.200000,10.275476,0
